power,Day,Time_of_Day,Location,Date
-102.334,1,3,0,07/02/24
-100.35,1,0,0,07/02/24
-99.924,1,1,0,07/02/24
-101.92,1,2,0,07/02/24
-101.46,2,0,0,07/03/24
-99.099,2,1,0,07/03/24
-98.309,2,2,0,07/03/24
-101.116,3,3,0,07/04/24
-102.927,3,0,0,07/04/24
-102.189,3,2,0,07/04/24
-99.146,4,3,0,07/05/24
-100.873,4,0,0,07/05/24
-99.761,4,1,0,07/05/24
-102.402,4,2,0,07/05/24
-101.177,5,0,0,07/06/24
-102.421,5,1,0,07/06/24
-97.73,5,2,0,07/06/24
-102.634,6,3,0,07/07/24
-102.113,6,0,0,07/07/24
-100.961,6,2,0,07/07/24
-102.723,0,3,0,07/08/24
-101.272,0,0,0,07/08/24
-97.46,0,1,0,07/08/24
-102.871,1,3,0,07/09/24
-101.769,1,0,0,07/09/24
-101.48,1,1,0,07/09/24
-100.78,1,2,0,07/09/24
-101.072,2,3,0,07/10/24
-101.692,2,0,0,07/10/24
-102.14,2,2,0,07/10/24
-102.897,3,0,0,07/11/24
-98.661,4,0,0,07/12/24
-100.992,4,1,0,07/12/24
-102.481,4,2,0,07/12/24
-103.062,5,0,0,07/13/24
-103.502,5,1,0,07/13/24
-101.17,5,2,0,07/13/24
-102.82,6,3,0,07/14/24
-102.578,6,1,0,07/14/24
-102.832,6,2,0,07/14/24
-103.349,0,3,0,07/15/24
-103.543,0,0,0,07/15/24
-99.814,0,1,0,07/15/24
-103.088,1,3,0,07/16/24
-99.876,1,0,0,07/16/24
-101.568,1,1,0,07/16/24
-103.418,1,2,0,07/16/24
-103.143,2,3,0,07/17/24
-98.961,2,1,0,07/17/24
-103.539,2,2,0,07/17/24
-103.189,3,3,0,07/18/24
-103.696,3,0,0,07/18/24
-102.921,3,2,0,07/18/24
-102.799,4,3,0,07/19/24
-102.999,4,0,0,07/19/24
-99.07,4,1,0,07/19/24
-103.84,5,3,0,07/20/24
-99.678,5,0,0,07/20/24
-103.974,5,1,0,07/20/24
-103.126,5,2,0,07/20/24
-103.12,6,3,0,07/21/24
-99.764,6,1,0,07/21/24
-99.892,6,2,0,07/21/24
-103.413,0,3,0,07/22/24
-103.224,0,0,0,07/22/24
-102.287,0,2,0,07/22/24
-100.968,1,3,0,07/23/24
-102.828,1,2,0,07/23/24
-103.739,2,3,0,07/24/24
-103.203,2,0,0,07/24/24
-99.641,2,1,0,07/24/24
-103.759,2,2,0,07/24/24
-103.662,3,3,0,07/25/24
-102.645,3,0,0,07/25/24
-101.837,3,1,0,07/25/24
-103.482,4,3,0,07/26/24
-103.583,4,0,0,07/26/24
-103.72,4,1,0,07/26/24
-99.903,4,2,0,07/26/24
-100.867,5,3,0,07/27/24
-104.643,5,1,0,07/27/24
-104.137,5,2,0,07/27/24
-103.987,6,3,0,07/28/24
-102.121,6,0,0,07/28/24
-104.386,6,2,0,07/28/24
-103.992,0,0,0,07/29/24
-102.922,2,1,0,07/31/24
-103.939,3,3,0,08/01/24
-101.868,3,0,0,08/01/24
-104.117,3,1,0,08/01/24
-102.73,3,2,0,08/01/24
-104.445,4,3,0,08/02/24
-103.977,2,3,0,08/14/24
-103.604,2,0,0,08/14/24
-103.698,2,1,0,08/14/24
-101.034,2,2,0,08/14/24
-104.219,3,0,0,08/15/24
-104.744,3,1,0,08/15/24
-104.548,3,2,0,08/15/24
-104.795,4,3,0,08/16/24
-101.707,4,0,0,08/16/24
-101.844,4,2,0,08/16/24
-104.571,5,3,0,08/17/24
-104.595,5,0,0,08/17/24
-104.385,5,1,0,08/17/24
-102.803,5,2,0,08/17/24
-102.684,6,3,0,08/18/24
-104.329,6,1,0,08/18/24
-104.143,6,2,0,08/18/24
-99.885,0,3,0,08/19/24
